"ID","ESCENARIO_ID","FECHA_EJECUCION","TIPO_OPTIMIZACION","ITERACION","PORCENTAJES_CONTRATOS","ENERGIA_TOTAL_COMPRADA","COBERTURA_PORCENTUAL","ERROR_CUADRATICO_MEDIO","TARIFA_PONDERADA","COSTO_TOTAL","ENERGIA_MENSUAL","COSTO_MENSUAL","COBERTURA_MENSUAL","PORCENTAJES_POR_PERIODO","ENERGIA_POR_CONTRATO_PERIODO","COSTO_POR_CONTRATO_PERIODO","TIPOS_CONTRATOS_UTILIZADOS"
83,81,05-MAY-26,"simple",0,"[100.0, 51.0, 51.79953475167943, 100.0, 100.0, 0.0, 20.07196249372552, 13.919131793784864, 49.527556196321264]",5839.54391918214,92.52199025246118,54.951890263116304,312.9670220108862,1827584.6702882133,"[419.89525369106724, 419.89525369106724, 421.0456516463853, 508.43575675572595, 508.43575675572595, 508.43575675572595, 509.82873143176903, 508.43575675572595, 508.43575675572595, 508.43575675572595, 509.82873143176903, 508.43575675572595]","[140199.4874678438, 138045.85673789814, 133897.04070685705, 159091.39835499128, 158467.9862849593, 157569.10838336436, 158000.80457071605, 156851.33818496074, 156816.90356110013, 156159.90356110013, 156587.73891332233, 155897.10356110014]","[79.88874689708281, 79.88874689708281, 79.88874689708283, 96.734352502992, 96.734352502992, 96.734352502992, 96.73435250299201, 96.734352502992, 96.734352502992, 96.734352502992, 96.73435250299201, 96.734352502992]","[[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0], [51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0], [51.79953475167944, 51.79953475167944, 51.79953475167944, 51.79953475167944, 51.79953475167944, 51.79953475167944, 51.79953475167944, 51.79953475167944, 51.79953475167944, 51.79953475167944, 51.79953475167944, 51.79953475167944], [100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0], [100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [20.07196249372552, 20.07196249372552, 20.07196249372552, 20.07196249372552, 20.07196249372552, 20.07196249372552, 20.07196249372552, 20.07196249372552, 20.07196249372552, 20.07196249372552, 20.07196249372552, 20.07196249372552], [13.919131793784866, 13.919131793784866, 13.919131793784866, 13.919131793784866, 13.919131793784866, 13.919131793784866, 13.919131793784866, 13.919131793784866, 13.919131793784866, 13.919131793784866, 13.919131793784866, 13.919131793784866], [49.527556196321264, 49.527556196321264, 49.527556196321264, 49.527556196321264, 49.527556196321264, 49.527556196321264, 49.527556196321264, 49.527556196321264, 49.527556196321264, 49.527556196321264, 49.527556196321264, 49.527556196321264]]","[[8.76000000000002, 8.76000000000002, 8.784000000000018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [103.20156, 103.20156, 103.48430400000001, 134.02800000000002, 134.02800000000002, 134.02800000000002, 134.3952, 134.02800000000002, 134.02800000000002, 134.02800000000002, 134.3952, 134.02800000000002], [104.81946654210846, 104.81946654210846, 105.10664316277177, 136.12917732741357, 136.12917732741357, 136.12917732741357, 136.50213397762565, 136.12917732741357, 136.12917732741357, 136.12917732741357, 136.50213397762565, 136.12917732741357], [131.4, 131.4, 131.76, 131.4, 131.4, 131.4, 131.76, 131.4, 131.4, 131.4, 131.76, 131.4], [26.28, 26.28, 26.352, 52.56, 52.56, 52.56, 52.704, 52.56, 52.56, 52.56, 52.704, 52.56], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [8.967349963696813, 8.967349963696813, 8.991918045789133, 17.934699927393627, 17.934699927393627, 17.934699927393627, 17.983836091578265, 17.934699927393627, 17.934699927393627, 17.934699927393627, 17.983836091578265, 17.934699927393627], [6.09657972567777, 6.09657972567777, 6.113282683830311, 6.09657972567777, 6.09657972567777, 6.09657972567777, 6.113282683830311, 6.09657972567777, 6.09657972567777, 6.09657972567777, 6.113282683830311, 6.09657972567777], [30.3702974595842, 30.3702974595842, 30.45350375399402, 30.287299775240992, 30.287299775240992, 30.287299775240992, 30.370278678734802, 30.287299775240992, 30.287299775240992, 30.287299775240992, 30.370278678734802, 30.287299775240992]]","[[3066.000000000007, 3022.2000000000066, 2986.5600000000063, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [32847.99134848827, 32585.89257, 31345.12748250157, 39975.499242570106, 39921.8880425701, 39607.65974375636, 39716.17388004062, 39607.65974375636, 39607.65974375636, 39607.65974375636, 39716.17388004062, 39607.65974375636], [33488.737661397274, 33222.52992052127, 31962.657782102433, 40765.55623301338, 40711.104562082415, 40391.950058467446, 40502.61293533995, 40391.950058467446, 40391.950058467446, 40391.950058467446, 40502.61293533995, 40391.950058467446], [45464.4, 44544.6, 43217.28, 43099.200000000004, 42705.0, 42705.0, 42822.0, 42048.0, 42048.0, 41391.0, 41504.399999999994, 41128.200000000004], [9592.2, 9198.0, 9091.44, 17292.24, 17292.24, 17292.24, 17339.616, 17292.24, 17292.24, 17292.24, 17339.616, 17292.24], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [3268.5990617674884, 3183.409237112369, 3153.9152545605384, 6061.569881460498, 6061.569881460498, 5977.994179798844, 5994.372246044867, 5977.994179798844, 5943.559555938247, 5943.559555938247, 5959.843280749036, 5943.559555938247], [2054.5473675534085, 2024.0644689250196, 1999.0434376125118, 1963.0986716682419, 1963.0986716682419, 1932.615773039853, 1937.9106107742086, 1902.1328744114642, 1902.1328744114642, 1902.1328744114642, 1907.344197355057, 1902.1328744114642], [10417.01202863738, 10265.160541339459, 10141.016750080009, 9934.234326279045, 9813.085127178081, 9661.648628301877, 9688.118898516403, 9631.361328526635, 9631.361328526635, 9631.361328526635, 9657.748619837666, 9631.361328526635]]","[2, 2, 2, 1, 1, 1, 2, 2, 2]"
82,81,05-MAY-26,"simple",0,"[99.0833778007614, 64.27972293546962, 62.41532294635251, 100.0, 0.0, 0.0, 38.82630207163441, 19.319851035099415, 16.95472073702015]",5962.89432300016,94.47635946650186,46.99172503587778,309.8772757498109,1847765.4483953025,"[432.65949916280437, 432.65949916280437, 433.8448676536614, 517.8769749962352, 517.8769749962352, 517.8769749962352, 519.295816023622, 517.8769749962352, 517.8769749962352, 517.8769749962352, 519.295816023622, 517.8769749962352]","[142995.78543071498, 141122.39576324378, 136543.56925125342, 160454.6309447622, 159885.77622357768, 158849.34840613088, 159284.5521003943, 158139.66971012566, 158073.06092146575, 157416.06092146575, 157847.33780070257, 157153.26092146576]","[82.31725630951377, 82.31725630951377, 82.31725630951378, 98.53062690187122, 98.53062690187122, 98.53062690187122, 98.53062690187122, 98.53062690187122, 98.53062690187122, 98.53062690187122, 98.53062690187122, 98.53062690187122]","[[99.0833778007614, 99.0833778007614, 99.0833778007614, 99.0833778007614, 99.0833778007614, 99.0833778007614, 99.0833778007614, 99.0833778007614, 99.0833778007614, 99.0833778007614, 99.0833778007614, 99.0833778007614], [64.27972293546962, 64.27972293546962, 64.27972293546962, 64.27972293546962, 64.27972293546962, 64.27972293546962, 64.27972293546962, 64.27972293546962, 64.27972293546962, 64.27972293546962, 64.27972293546962, 64.27972293546962], [62.41532294635251, 62.41532294635251, 62.41532294635251, 62.41532294635251, 62.41532294635251, 62.41532294635251, 62.41532294635251, 62.41532294635251, 62.41532294635251, 62.41532294635251, 62.41532294635251, 62.41532294635251], [100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [38.82630207163441, 38.82630207163441, 38.82630207163441, 38.82630207163441, 38.82630207163441, 38.82630207163441, 38.82630207163441, 38.82630207163441, 38.82630207163441, 38.82630207163441, 38.82630207163441, 38.82630207163441], [19.319851035099415, 19.319851035099415, 19.319851035099415, 19.319851035099415, 19.319851035099415, 19.319851035099415, 19.319851035099415, 19.319851035099415, 19.319851035099415, 19.319851035099415, 19.319851035099415, 19.319851035099415], [16.95472073702015, 16.95472073702015, 16.95472073702015, 16.95472073702015, 16.95472073702015, 16.95472073702015, 16.95472073702015, 16.95472073702015, 16.95472073702015, 16.95472073702015, 16.95472073702015, 16.95472073702015]]","[[8.679703895346718, 8.679703895346718, 8.7034839060189, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [130.0738761432989, 130.0738761432989, 130.43024292725315, 168.92711187441415, 168.92711187441415, 168.92711187441415, 169.38992587954954, 168.92711187441415, 168.92711187441415, 168.92711187441415, 169.38992587954954, 168.92711187441415], [126.3011509013211, 126.3011509013211, 126.64718145173568, 164.02746870301442, 164.02746870301442, 164.02746870301442, 164.47685902822812, 164.02746870301442, 164.02746870301442, 164.02746870301442, 164.47685902822812, 164.02746870301442], [131.4, 131.4, 131.76, 131.4, 131.4, 131.4, 131.76, 131.4, 131.4, 131.4, 131.76, 131.4], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [17.34603871352339, 17.34603871352339, 17.393562107259072, 34.69207742704678, 34.69207742704678, 34.69207742704678, 34.787124214518144, 34.69207742704678, 34.69207742704678, 34.69207742704678, 34.787124214518144, 34.69207742704678], [8.46209475337354, 8.46209475337354, 8.485278574615661, 8.46209475337354, 8.46209475337354, 8.46209475337354, 8.485278574615661, 8.46209475337354, 8.46209475337354, 8.46209475337354, 8.485278574615661, 8.46209475337354], [10.396634755940756, 10.396634755940756, 10.42511868677895, 10.368222238386275, 10.368222238386275, 10.368222238386275, 10.396628326710623, 10.368222238386275, 10.368222238386275, 10.368222238386275, 10.396628326710623, 10.368222238386275]]","[[3037.896363371351, 2994.4978438946177, 2959.184528046426, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [41401.17221308881, 41070.82639224662, 39506.98254808186, 50384.58853959767, 50317.017694847906, 49920.96851864729, 50057.73829541071, 49920.96851864729, 49920.96851864729, 49920.96851864729, 50057.73829541071, 49920.96851864729], [40351.91409000097, 40031.14977817372, 38513.07964940728, 49120.04267159427, 49054.43168411306, 48669.86970863575, 48803.21181742652, 48669.86970863575, 48669.86970863575, 48669.86970863575, 48803.21181742652, 48669.86970863575], [45464.4, 44544.6, 43217.28, 43099.200000000004, 42705.0, 42705.0, 42822.0, 42048.0, 42048.0, 41391.0, 41504.399999999994, 41128.200000000004], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [6322.631111079276, 6157.843743300804, 6100.79190912112, 11725.228328793273, 11725.228328793273, 11563.563247983233, 11595.244243183188, 11563.563247983233, 11496.954459323304, 11496.954459323304, 11528.452964691312, 11496.954459323304], [2851.725931886883, 2809.4154581200155, 2774.6860938993213, 2724.79451058628, 2724.79451058628, 2682.4840368194123, 2689.8333081531646, 2640.1735630525445, 2640.1735630525445, 2640.1735630525445, 2647.406915280086, 2640.1735630525445], [3566.0457212876795, 3514.0625475079755, 3471.56452269739, 3400.7768941906984, 3359.3040052371534, 3307.4628940452217, 3316.5244362206886, 3297.094671806836, 3297.094671806836, 3297.094671806836, 3306.127807893978, 3297.094671806836]]","[2, 2, 2, 1, 1, 1, 2, 2, 2]"
101,101,19-MAY-26,"simple",0,"[96.08255561244523, 60.184793389532295, 60.0, 0.0, 0.0, 100.0, 93.84593937526502, 95.23988808303439, 24.626722179008542]",5715.047320162331,90.54946067131736,75.91732652258541,310.060571399855,1772010.8376667423,"[376.64076127880264, 376.64076127880264, 377.672653775457, 509.03376863330783, 509.03376863330783, 509.03376863330783, 510.4283816980566, 509.03376863330783, 509.03376863330783, 509.03376863330783, 510.4283816980566, 509.03376863330783]","[124060.2286091018, 122429.02805495773, 119018.97841843952, 158030.9733473536, 157686.71574504385, 155956.22590524636, 156383.50323649365, 155732.59071346986, 155571.59252386875, 155571.59252386875, 155997.81606503003, 155571.59252386875]","[71.65920115654541, 71.65920115654541, 71.65920115654542, 96.84812949644365, 96.84812949644365, 96.84812949644365, 96.84812949644366, 96.84812949644365, 96.84812949644365, 96.84812949644365, 96.84812949644366, 96.84812949644365]","[[96.08255561244523, 96.08255561244523, 96.08255561244523, 96.08255561244523, 96.08255561244523, 96.08255561244523, 96.08255561244523, 96.08255561244523, 96.08255561244523, 96.08255561244523, 96.08255561244523, 96.08255561244523], [60.1847933895323, 60.1847933895323, 60.1847933895323, 60.1847933895323, 60.1847933895323, 60.1847933895323, 60.1847933895323, 60.1847933895323, 60.1847933895323, 60.1847933895323, 60.1847933895323, 60.1847933895323], [60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0], [93.84593937526502, 93.84593937526502, 93.84593937526502, 93.84593937526502, 93.84593937526502, 93.84593937526502, 93.84593937526502, 93.84593937526502, 93.84593937526502, 93.84593937526502, 93.84593937526502, 93.84593937526502], [95.23988808303439, 95.23988808303439, 95.23988808303439, 95.23988808303439, 95.23988808303439, 95.23988808303439, 95.23988808303439, 95.23988808303439, 95.23988808303439, 95.23988808303439, 95.23988808303439, 95.23988808303439], [24.626722179008542, 24.626722179008542, 24.626722179008542, 24.626722179008542, 24.626722179008542, 24.626722179008542, 24.626722179008542, 24.626722179008542, 24.626722179008542, 24.626722179008542, 24.626722179008542, 24.626722179008542]]","[[8.41683187165022, 8.41683187165022, 8.439891684997207, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [121.78754051132198, 121.78754051132198, 122.12120500587355, 158.16563702769088, 158.16563702769088, 158.16563702769088, 158.59896754009552, 158.16563702769088, 158.16563702769088, 158.16563702769088, 158.59896754009552, 158.16563702769088], [121.41359999999999, 121.41359999999999, 121.74624, 157.68, 157.68, 157.68, 158.112, 157.68, 157.68, 157.68, 158.112, 157.68], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [26.28, 26.28, 26.352, 52.56, 52.56, 52.56, 52.704, 52.56, 52.56, 52.56, 52.704, 52.56], [41.9266118752934, 41.9266118752934, 42.04147930508873, 83.8532237505868, 83.8532237505868, 83.8532237505868, 84.08295861017746, 83.8532237505868, 83.8532237505868, 83.8532237505868, 84.08295861017746, 83.8532237505868], [41.71507098036904, 41.71507098036904, 41.82935884606869, 41.71507098036904, 41.71507098036904, 41.71507098036904, 41.82935884606869, 41.71507098036904, 41.71507098036904, 41.71507098036904, 41.82935884606869, 41.71507098036904], [15.101106040168037, 15.101106040168037, 15.142478933428773, 15.059836874661078, 15.059836874661078, 15.059836874661078, 15.101096701714944, 15.059836874661078, 15.059836874661078, 15.059836874661078, 15.101096701714944, 15.059836874661078]]","[[2945.8911550775774, 2903.806995719326, 2869.56317289905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [38763.71710921395, 38454.415916449914, 36990.196496135446, 47174.846324656595, 47111.58006984551, 46740.76114354651, 46868.81802339184, 46740.76114354651, 46740.76114354651, 46740.76114354651, 46868.81802339184, 46740.76114354651], [38790.39202410384, 38482.040519999995, 37022.7160556489, 47219.215108906, 47156.14310890599, 46786.462757360416, 46914.6448471066, 46786.462757360416, 46786.462757360416, 46786.462757360416, 46914.6448471066, 46786.462757360416], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [9040.32, 8751.24, 8669.808, 16924.32, 16766.64, 16451.280000000002, 16496.352, 16451.280000000002, 16451.280000000002, 16451.280000000002, 16496.352, 16451.280000000002], [15282.250028544446, 14883.947215729158, 14746.048866259871, 28340.71256322333, 28340.71256322333, 27949.956540545594, 28026.53176394435, 27949.956540545594, 27788.958350944467, 27788.958350944467, 27865.092483412805, 27788.958350944467], [14057.978920384367, 13849.403565482522, 13678.200342664462, 13432.252855678831, 13432.252855678831, 13223.677500776987, 13259.906754203776, 13015.10214587514, 13015.10214587514, 13015.10214587514, 13050.759959973433, 13015.10214587514], [5179.679371777637, 5104.173841576797, 5042.445484831782, 4939.626494888834, 4879.387147390189, 4804.087963016884, 4817.249847847067, 4789.028126142223, 4789.028126142223, 4789.028126142223, 4802.148751145352, 4789.028126142223]]","[2, 2, 2, 1, 1, 1, 2, 2, 2]"
21,61,09-JUN-25,"simple",0,"[100.0, 90.0, 100.0, 0.0, 0.0, 0.0, 20.98029713639153, 0.605439397721648, 8.479139475890703]",5939.8593107583165,94.11139172114349,58.844338505251315,301.7147586193244,1792143.2181781922,"[408.0741483314725, 408.0741483314725, 409.19215969676424, 523.5166966399428, 523.5166966399428, 523.5166966399428, 524.9509889595042, 523.5166966399428, 523.5166966399428, 523.5166966399428, 524.9509889595042, 523.5166966399428]","[130972.97639991614, 129836.36201962763, 125125.758620434, 157365.70413937085, 157145.23534302507, 155859.97116039746, 156286.98478001496, 155853.46004903005, 155817.4671240432, 155817.4671240432, 156244.36429424598, 155817.4671240432]","[77.63967814525732, 77.63967814525732, 77.63967814525734, 99.60363330288105, 99.60363330288105, 99.60363330288105, 99.60363330288105, 99.60363330288105, 99.60363330288105, 99.60363330288105, 99.60363330288105, 99.60363330288105]","[[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0], [90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0], [100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [20.98029713639153, 20.98029713639153, 20.98029713639153, 20.98029713639153, 20.98029713639153, 20.98029713639153, 20.98029713639153, 20.98029713639153, 20.98029713639153, 20.98029713639153, 20.98029713639153, 20.98029713639153], [0.605439397721648, 0.605439397721648, 0.605439397721648, 0.605439397721648, 0.605439397721648, 0.605439397721648, 0.605439397721648, 0.605439397721648, 0.605439397721648, 0.605439397721648, 0.605439397721648, 0.605439397721648], [8.479139475890701, 8.479139475890701, 8.479139475890701, 8.479139475890701, 8.479139475890701, 8.479139475890701, 8.479139475890701, 8.479139475890701, 8.479139475890701, 8.479139475890701, 8.479139475890701, 8.479139475890701]]","[[8.76000000000002, 8.76000000000002, 8.784000000000018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [182.1204, 182.1204, 182.61936, 236.52, 236.52, 236.52, 237.16799999999998, 236.52, 236.52, 236.52, 237.16799999999998, 236.52], [202.356, 202.356, 202.9104, 262.8, 262.8, 262.8, 263.52, 262.8, 262.8, 262.8, 263.52, 262.8], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [9.373157548654282, 9.373157548654282, 9.398837432349223, 18.746315097308564, 18.746315097308564, 18.746315097308564, 18.797674864698447, 18.746315097308564, 18.746315097308564, 18.746315097308564, 18.797674864698447, 18.746315097308564], [0.26518245620208175, 0.26518245620208175, 0.26590898347934777, 0.26518245620208175, 0.26518245620208175, 0.26518245620208175, 0.26590898347934777, 0.26518245620208175, 0.26518245620208175, 0.26518245620208175, 0.26590898347934777, 0.26518245620208175], [5.199408326616178, 5.199408326616178, 5.213653280935675, 5.185199086432139, 5.185199086432139, 5.185199086432139, 5.199405111326474, 5.185199086432139, 5.185199086432139, 5.185199086432139, 5.199405111326474, 5.185199086432139]]","[[3066.000000000007, 3022.2000000000066, 2986.5600000000063, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [57967.043556155775, 57504.516299999996, 55314.93085147336, 70544.998663359, 70450.390663359, 69895.87013604063, 70087.3656706599, 69895.87013604063, 69895.87013604063, 69895.87013604063, 70087.3656706599, 69895.87013604063], [64650.653373506415, 64136.7342, 61704.52675941484, 78698.69184817666, 78593.57184817665, 77977.43792893403, 78191.07474517767, 77977.43792893403, 77977.43792893403, 77977.43792893403, 78191.07474517767, 77977.43792893403], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [3416.5159264844856, 3327.47092977227, 3296.64222939649, 6335.879576588349, 6335.879576588349, 6248.521748234891, 6265.6409859012865, 6248.521748234891, 6212.528823248058, 6212.528823248058, 6229.549450161065, 6212.528823248058], [89.36648774010155, 88.04057545909114, 86.95223759774672, 85.38875089707032, 85.38875089707032, 84.06283861605992, 84.29314776295324, 82.7369263350495, 82.7369263350495, 82.7369263350495, 82.96360284555651, 82.7369263350495], [1783.397056029349, 1757.400014396268, 1736.1465425515796, 1700.7453003497415, 1680.004504004013, 1654.0785085718521, 1658.610230513145, 1648.89330948542, 1648.89330948542, 1648.89330948542, 1653.4108254018188, 1648.89330948542]]","[2, 2, 2, 1, 1, 1, 2, 2, 2]"
